('Hugo', 'Vikström', '19871231-3339', '0744051082', 'hugo.vikstrom@outlook.com')
('Charlie', 'Lennartsson', '19900213-8671', '0798728769', 'charlie.lennartsson@gmail.com')
('Milo', 'Jonsson', '19610901-4422', '0711204889', 'milo.jonsson@yahoo.com')
('Molly', 'Lindgren', '19710810-5195', '0741274904', 'molly.lindgren@gmail.com')
('Viktor', 'Lindholm', '19750220-6151', '0718842240', 'viktor.lindholm@outlook.com')
('Maja', 'Lindskog', '19970109-1216', '0733460702', 'maja.lindskog@hotmail.com')
('Lovisa', 'Pettersson', '19900325-6495', '0737290582', 'lovisa.pettersson@gmail.com')
('Wilmer', 'Lenegren', '19871006-4697', '0708214416', 'wilmer.lenegren@yahoo.com')
('Filippa', 'Karlsson', '19900201-6390', '0765182228', 'filippa.karlsson@yahoo.com')
('Elias', 'Hansson', '19631031-2737', '0731059034', 'elias.hansson@hotmail.com')
('Astrid', 'Månsson', '19890321-8731', '0772771274', 'astrid.mansson@yahoo.com')
('Sofia', 'Lindén', '19640117-6709', '0784582819', 'sofia.linden@hotmail.com')
('William', 'Lindskog', '19720929-7964', '0738166989', 'william.lindskog@gmail.com')
('Viktor', 'Vikström', '19610629-8858', '0789342238', 'viktor.vikstrom@outlook.com')
('Lovisa', 'Lindström', '19680804-8187', '0718468095', 'lovisa.lindstrom@yahoo.com')
('Theo', 'Vikman', '19730526-8816', '0796877341', 'theo.vikman@yahoo.com')
('Otto', 'Lindskog', '19800915-6209', '0750440116', 'otto.lindskog@outlook.com')
('Vera', 'Lenegren', '19680221-8573', '0793099486', 'vera.lenegren@hotmail.com')
('Noah', 'Lindén', '19720928-4402', '0773054155', 'noah.linden@outlook.com')
('Liam', 'Svensson', '19820821-9132', '0749576020', 'liam.svensson@hotmail.com')
