('David', 'Hansson', '19840802-8847', '0792479258', 'david.hansson@hotmail.com')
('Filip', 'Rydman', '19610629-4709', '0705348526', 'filip.rydman@hotmail.com')
('Emilia', 'Ryding', '19790906-9634', '0736097495', 'emilia.ryding@outlook.com')
('Gustav', 'Nilsson', '19930916-5215', '0760165480', 'gustav.nilsson@outlook.com')
('Lucian', 'Lindholm', '19880223-5442', '0776870557', 'lucian.lindholm@outlook.com')
('Sigge', 'Ryding', '19910626-2758', '0735364173', 'sigge.ryding@gmail.com')
('Oscar', 'Lindholm', '19890817-1139', '0751367460', 'oscar.lindholm@hotmail.com')
('Molly', 'Vikström', '19850912-1548', '0731239190', 'molly.vikstrom@outlook.com')
('Hugo', 'Johansson', '19710609-1606', '0773067023', 'hugo.johansson@outlook.com')
('William', 'Karlsson', '19721026-4028', '0741355300', 'william.karlsson@yahoo.com')
('Ludvig', 'Johansson', '19610601-8116', '0767704769', 'ludvig.johansson@gmail.com')
('Alfred', 'Lindén', '19600408-7933', '0764385853', 'alfred.linden@gmail.com')
('Oliver', 'Rydberg', '19601123-6850', '0759975373', 'oliver.rydberg@hotmail.com')
('Hugo', 'Bengtsson', '19761125-4724', '0720231410', 'hugo.bengtsson@outlook.com')
('Levi', 'Lindén', '19840317-1390', '0741889013', 'levi.linden@outlook.com')
('Vilmer', 'Bengtsson', '19841225-9903', '0719485021', 'vilmer.bengtsson@gmail.com')
('Viktor', 'Rydberg', '19700326-8351', '0728004080', 'viktor.rydberg@gmail.com')
('Freja', 'Rydberg', '19861024-3308', '0728462794', 'freja.rydberg@gmail.com')
('William', 'Persson', '19710527-3278', '0733459457', 'william.persson@gmail.com')
('Jacob', 'Ternström', '19820322-1606', '0785428205', 'jacob.ternstrom@hotmail.com')
