('Alicia', 'Viklund', '19810617-3367', '0736613737', 'alicia.viklund@hotmail.com'),
('Joel', 'Ryding', '19760110-2994', '0775675847', 'joel.ryding@gmail.com'),
('Gustav', 'Vikström', '19620505-8428', '0700274693', 'gustav.vikström@hotmail.com'),
('Lovisa', 'Eriksson', '19651017-4032', '0737038270', 'lovisa.eriksson@outlook.com'),
('Maja', 'Rydén', '19640511-7396', '0784287911', 'maja.rydén@outlook.com'),
('Molly', 'Lindskog', '19770423-9667', '0772435591', 'molly.lindskog@hotmail.com'),
('Liam', 'Pettersson', '19680707-7737', '0788063718', 'liam.pettersson@outlook.com'),
('Sebastian', 'Lindqvist', '19690826-8843', '0708662903', 'sebastian.lindqvist@yahoo.com'),
('Wilmer', 'Persson', '19720125-8840', '0795923499', 'wilmer.persson@outlook.com'),
('Lucian', 'Lindqvist', '19840305-8965', '0714922019', 'lucian.lindqvist@gmail.com'),
('Ida', 'Persson', '19830916-2168', '0752743905', 'ida.persson@yahoo.com'),
('William', 'Jansson', '19650709-3587', '0762172867', 'william.jansson@gmail.com'),
('Levi', 'Jansson', '19930708-5781', '0773783662', 'levi.jansson@yahoo.com'),
('Noah', 'Eriksson', '19900926-6453', '0779665935', 'noah.eriksson@yahoo.com'),
('Nellie', 'Vikman', '19601104-9979', '0707231209', 'nellie.vikman@gmail.com'),
('Gustav', 'Gustafsson', '19900906-6866', '0714857734', 'gustav.gustafsson@hotmail.com'),
('Liam', 'Lenegren', '19770305-2644', '0792251129', 'liam.lenegren@yahoo.com'),
('Samuel', 'Nilsson', '19850601-4811', '0713072745', 'samuel.nilsson@yahoo.com'),
('Albin', 'Lindqvist', '19830801-9846', '0758491521', 'albin.lindqvist@yahoo.com'),
('Viktor', 'Danielsson', '19610908-3156', '0752259547', 'viktor.danielsson@hotmail.com'),
('Björn', 'Vik', '19741224-7370', '0783853045', 'björn.vik@gmail.com'),
('Sebastian', 'Viklund', '19690817-7705', '0781042242', 'sebastian.viklund@outlook.com'),
('Milo', 'Andersson', '19890621-8229', '0758678935', 'milo.andersson@yahoo.com'),
('Tilda', 'Viklund', '19610411-9917', '0747007069', 'tilda.viklund@yahoo.com'),
('Ville', 'Andersson', '19721121-9720', '0728796621', 'ville.andersson@outlook.com'),
('Noah', 'Jonsson', '19600116-8355', '0744221614', 'noah.jonsson@yahoo.com'),
('Ville', 'Jansson', '19780307-1266', '0748992742', 'ville.jansson@hotmail.com'),
('Tilda', 'Viklund', '19700314-3470', '0717344842', 'tilda.viklund@yahoo.com'),
('Levi', 'Persson', '19840228-8800', '0704343564', 'levi.persson@hotmail.com'),
('Linus', 'Rydén', '19980629-5968', '0768677181', 'linus.rydén@outlook.com'),
('Isabella', 'Lindgren', '19820726-2024', '0763416749', 'isabella.lindgren@outlook.com'),
('William', 'Jansson', '19921229-4058', '0733622791', 'william.jansson@gmail.com'),
('Jesper', 'Persson', '19931110-3675', '0795712265', 'jesper.persson@yahoo.com'),
('Lucas', 'Olsson', '19720301-7218', '0767163470', 'lucas.olsson@yahoo.com'),
('Nellie', 'Ternström', '19871205-1700', '0777316405', 'nellie.ternström@yahoo.com'),
