('Hanna', 'Svensson', '19720319-7578', '0728410511', 'hanna.svensson@hotmail.com'),
('Linn', 'Ryding', '19770605-8315', '0727480639', 'linn.ryding@yahoo.com'),
('Sofia', 'Bengtsson', '19670626-9949', '0781679922', 'sofia.bengtsson@outlook.com'),
('Ida', 'Lindén', '19620807-8698', '0734724650', 'ida.lindén@gmail.com'),
('Ida', 'Vik', '19740925-3262', '0779751858', 'ida.vik@hotmail.com'),
('Oscar', 'Pettersson', '19661201-5637', '0703973164', 'oscar.pettersson@yahoo.com'),
('Jacob', 'Ternström', '19890302-7530', '0709579876', 'jacob.ternström@hotmail.com'),
('William', 'Lennartsson', '19600528-6007', '0726270539', 'william.lennartsson@gmail.com'),
('Milo', 'Lindskog', '19981010-5747', '0774894214', 'milo.lindskog@outlook.com'),
('Lovisa', 'Lennartsson', '19971114-5040', '0799242338', 'lovisa.lennartsson@gmail.com'),
('Ove', 'Lindström', '19780309-6559', '0710878756', 'ove.lindström@yahoo.com'),
('Albin', 'Viklund', '19911008-1318', '0742811787', 'albin.viklund@yahoo.com'),
('David', 'Viklund', '19640306-1011', '0769399318', 'david.viklund@yahoo.com'),
('Jasmine', 'Karlsson', '19660609-2978', '0785774083', 'jasmine.karlsson@yahoo.com'),
('Oliver', 'Lindholm', '19631224-6590', '0752240815', 'oliver.lindholm@yahoo.com'),
('Pontus', 'Lenegren', '19950329-8220', '0740507441', 'pontus.lenegren@yahoo.com'),
('Samuel', 'Rydén', '19811201-3976', '0799665407', 'samuel.rydén@yahoo.com'),
('Viktor', 'Nilsson', '19831224-8704', '0703179710', 'viktor.nilsson@gmail.com'),
('Milo', 'Rydberg', '19900320-1924', '0791825568', 'milo.rydberg@yahoo.com'),
('Pontus', 'Rydén', '19610106-1982', '0777667447', 'pontus.rydén@yahoo.com'),
('Benjamin', 'Eriksson', '19751111-6900', '0785922338', 'benjamin.eriksson@yahoo.com'),
('Jasmine', 'Rydén', '19731208-6650', '0740245180', 'jasmine.rydén@hotmail.com'),
('Oliver', 'Danielsson', '19691113-4861', '0706488896', 'oliver.danielsson@outlook.com'),
('Erik', 'Ternström', '19641013-3413', '0759795236', 'erik.ternström@hotmail.com'),
('Liam', 'Pettersson', '19800719-9909', '0748461590', 'liam.pettersson@yahoo.com'),
('Gustav', 'Lindqvist', '19911127-6540', '0773398900', 'gustav.lindqvist@yahoo.com'),
('Isabella', 'Vikberg', '19850625-4514', '0758011158', 'isabella.vikberg@hotmail.com'),
('Linn', 'Danielsson', '19830819-3857', '0727307447', 'linn.danielsson@hotmail.com'),
('Olle', 'Viklund', '19900430-8305', '0777216734', 'olle.viklund@outlook.com'),
('Gustav', 'Vikström', '19651019-9612', '0715759088', 'gustav.vikström@outlook.com'),
('Lilly', 'Danielsson', '19940602-4399', '0709684674', 'lilly.danielsson@gmail.com'),
('Wilmer', 'Nilsson', '19940215-7283', '0786356881', 'wilmer.nilsson@yahoo.com'),
('Theo', 'Lindqvist', '19720127-5236', '0733517310', 'theo.lindqvist@gmail.com'),
('Simon', 'Rydman', '19721201-3587', '0743350222', 'simon.rydman@yahoo.com'),
('Ove', 'Ryding', '19920604-7947', '0789857337', 'ove.ryding@gmail.com'),
('Alfred', 'Karlsson', '19700711-1438', '0773278372', 'alfred.karlsson@yahoo.com'),
('Linus', 'Olsson', '19940522-2353', '0765906364', 'linus.olsson@yahoo.com'),
('Olle', 'Lindgren', '19810423-6904', '0760760823', 'olle.lindgren@yahoo.com'),
('Ella', 'Nilsson', '19910728-4462', '0732788729', 'ella.nilsson@hotmail.com'),
('Vera', 'Hansson', '19780103-3953', '0749307602', 'vera.hansson@outlook.com'),
('Astrid', 'Lindgren', '19730403-5483', '0700323032', 'astrid.lindgren@yahoo.com'),
('Filip', 'Ternström', '19660521-8035', '0723268251', 'filip.ternström@gmail.com'),
('Otto', 'Ternström', '19791006-1570', '0750142517', 'otto.ternström@gmail.com'),
('Gustav', 'Rydberg', '19850821-7919', '0751835989', 'gustav.rydberg@yahoo.com'),
('Alfred', 'Karlsson', '19930419-5621', '0758876875', 'alfred.karlsson@hotmail.com'),
('Alexander', 'Jansson', '19640318-9426', '0715225773', 'alexander.jansson@hotmail.com'),
('Adam', 'Lindgren', '19921124-4013', '0718639160', 'adam.lindgren@hotmail.com'),
('Liam', 'Vik', '19701223-8848', '0776348792', 'liam.vik@outlook.com'),
('Björn', 'Eriksson', '19680428-4397', '0701525541', 'björn.eriksson@gmail.com'),
('Theo', 'Jansson', '19660305-3713', '0770577057', 'theo.jansson@yahoo.com'),
('Olle', 'Vikström', '19951125-6553', '0774814885', 'olle.vikström@yahoo.com'),
('Anton', 'Svensson', '19850726-5521', '0705298526', 'anton.svensson@gmail.com'),
('Wilmer', 'Lindskog', '19801215-3215', '0779755836', 'wilmer.lindskog@gmail.com'),
('Joel', 'Lindholm', '19970223-5139', '0798806620', 'joel.lindholm@hotmail.com'),
('Charlie', 'Viklund', '19780615-3705', '0710194263', 'charlie.viklund@yahoo.com'),
('Noah', 'Jonsson', '19880615-8485', '0754134427', 'noah.jonsson@gmail.com'),
('Isabella', 'Andersson', '19720501-3882', '0728810808', 'isabella.andersson@outlook.com'),
('Oscar', 'Ryding', '19700404-5075', '0764559024', 'oscar.ryding@gmail.com'),
('Joel', 'Vik', '19810926-9943', '0710597802', 'joel.vik@outlook.com'),
('Ville', 'Ryding', '19770205-1238', '0712552398', 'ville.ryding@outlook.com'),
('Josef', 'Larsson', '19830716-1296', '0781424200', 'josef.larsson@outlook.com'),
('Liam', 'Ryding', '19930323-8506', '0752080565', 'liam.ryding@yahoo.com'),
('Astrid', 'Vik', '19960429-1186', '0723310230', 'astrid.vik@hotmail.com'),
('Jesper', 'Rydén', '19970223-5572', '0749170212', 'jesper.rydén@yahoo.com'),
('Ludvig', 'Lenegren', '19850918-4757', '0719275397', 'ludvig.lenegren@outlook.com'),
('Sebastian', 'Vik', '19721028-2789', '0720405811', 'sebastian.vik@outlook.com'),
('Jonathan', 'Vik', '19810609-4156', '0751059687', 'jonathan.vik@gmail.com'),
('Leo', 'Jönsson', '19750610-8400', '0716396931', 'leo.jönsson@yahoo.com'),
('Filippa', 'Lindberg', '19841008-6090', '0707904818', 'filippa.lindberg@yahoo.com'),
('Otto', 'Bengtsson', '19730401-3200', '0716653383', 'otto.bengtsson@yahoo.com'),
('Josef', 'Vik', '19710714-6939', '0769335136', 'josef.vik@gmail.com'),
('Emilia', 'Hansson', '19611111-1863', '0734701870', 'emilia.hansson@outlook.com'),
